surface_id	fields
SURF-CAW2026R01598	corpus_disposition
SURF-CAW2026R01599	corpus_disposition
SURF-CAW2026R01600	corpus_disposition
SURF-CAW2026R01601	corpus_disposition
SURF-CAW2026R01602	corpus_disposition
SURF-CAW2026R01603	corpus_disposition
SURF-CAW2026R01604	corpus_disposition
SURF-CAW2026R01605	corpus_disposition
SURF-CAW2026R01606	corpus_disposition
SURF-CAW2026R01607	corpus_disposition
SURF-CAW2026R01608	corpus_disposition
SURF-CAW2026R01609	corpus_disposition
SURF-CAW2026R01616	corpus_disposition
SURF-CAW2026R01620	corpus_disposition
SURF-CAW2026R01621	corpus_disposition
SURF-CAW2026R01622	corpus_disposition
SURF-CAW2026R01628	corpus_disposition
SURF-CAW2026R01629	corpus_disposition
SURF-CAW2026R01630	corpus_disposition
SURF-CAW2026R01631	corpus_disposition
SURF-CAW2026R01632	corpus_disposition
SURF-CAW2026R01641	corpus_disposition
SURF-CAW2026R01657	corpus_disposition
SURF-CAW2026R01660	corpus_disposition
SURF-CAW2026R01661	corpus_disposition
SURF-CAW2026R01671	corpus_disposition
SURF-CAW2026R01678	corpus_disposition
SURF-CAW2026R01679	corpus_disposition
SURF-CAW2026R01680	corpus_disposition
SURF-CAW2026R01681	corpus_disposition
SURF-CAW2026R01682	corpus_disposition
SURF-CAW2026R01683	corpus_disposition
SURF-CAW2026R01684	corpus_disposition
SURF-CAW2026R01685	corpus_disposition
SURF-CAW2026R01686	corpus_disposition
SURF-CAW2026R01687	corpus_disposition
SURF-CAW2026R01688	corpus_disposition
SURF-CAW2026R01689	corpus_disposition
SURF-CAW2026R01690	corpus_disposition
SURF-CAW2026R01691	corpus_disposition
SURF-CAW2026R01692	corpus_disposition
SURF-CAW2026R01693	corpus_disposition
SURF-CAW2026R01694	corpus_disposition
SURF-CAW2026R01695	corpus_disposition
SURF-CAW2026R01697	corpus_disposition
SURF-CAW2026R01698	corpus_disposition
SURF-CAW2026R01699	corpus_disposition
SURF-CAW2026R01700	corpus_disposition
SURF-CAW2026R01701	corpus_disposition
SURF-CAW2026R01706	corpus_disposition
SURF-CAW2026R01708	corpus_disposition
SURF-CAW2026R01710	corpus_disposition
SURF-CAW2026R01712	corpus_disposition
SURF-CAW2026R01713	corpus_disposition
SURF-CAW2026R01714	corpus_disposition
SURF-CAW2026R01716	corpus_disposition
SURF-CAW2026R01723	corpus_disposition
SURF-CAW2026R01724	corpus_disposition
SURF-CAW2026R01727	corpus_disposition
SURF-CAW2026R01728	corpus_disposition
SURF-CAW2026R01729	corpus_disposition
SURF-CAW2026R01730	corpus_disposition
SURF-CAW2026R01731	corpus_disposition
SURF-CAW2026R01732	corpus_disposition
SURF-CAW2026R01733	corpus_disposition
SURF-CAW2026R01734	corpus_disposition
SURF-CAW2026R01735	corpus_disposition
SURF-CAW2026R01740	corpus_disposition
SURF-CAW2026R01743	corpus_disposition
SURF-CAW2026R01755	corpus_disposition
SURF-CAW2026R01756	corpus_disposition
SURF-CAW2026R01757	corpus_disposition
SURF-CAW2026R01758	corpus_disposition
SURF-CAW2026R01759	corpus_disposition
SURF-CAW2026R01761	corpus_disposition
SURF-CAW2026R01765	corpus_disposition
SURF-CAW2026R01766	corpus_disposition
SURF-CAW2026R01767	corpus_disposition
SURF-CAW2026R01774	corpus_disposition
SURF-CAW2026R01779	corpus_disposition
SURF-CAW2026R01780	corpus_disposition
SURF-CAW2026R01783	corpus_disposition
SURF-CAW2026R01784	corpus_disposition
SURF-CAW2026R01787	corpus_disposition
SURF-CAW2026R01788	corpus_disposition
SURF-CAW2026R01793	corpus_disposition
SURF-CAW2026R01794	corpus_disposition
SURF-CAW2026R01796	corpus_disposition
SURF-CAW2026R01797	corpus_disposition
SURF-CAW2026R01806	corpus_disposition
SURF-CAW2026R01815	corpus_disposition
SURF-CAW2026R01818	corpus_disposition
SURF-CAW2026R01819	corpus_disposition
SURF-CAW2026R01820	corpus_disposition
SURF-CAW2026R01821	corpus_disposition
SURF-CAW2026R01822	corpus_disposition
