model_id	variant_id	k	object_count	query_count	mean	variance	skewness	gini	top1_percent_occurrence_share	maximum_occurrence	zero_occurrence_object_count	total_occurrence_count
M4	M4-GOODALL-FLOOR-2	50	7995	7995	50	4977.216010006254	4.873221008173226	0.5583746070186926	0.10481050656660412	944	695	399750
M4	M4-GOODALL-FLOOR-3	10	7995	7995	10	408.9505941213258	7.841403263689623	0.6215344846939594	0.17619762351469667	300	1700	79950
M4	M4-GOODALL-FLOOR-3	20	7995	7995	20	1141.5952470293935	5.635212178799966	0.6017500931828483	0.13216385240775486	467	1188	159900
M4	M4-GOODALL-FLOOR-3	50	7995	7995	50	4977.341838649156	4.873130747582531	0.5583870932466	0.1048130081300813	944	696	399750
M4	M4-GOODALL-FLOOR-5	10	7995	7995	10	409.1289555972483	7.837655878381668	0.6218606860682547	0.17621013133208255	300	1703	79950
M4	M4-GOODALL-FLOOR-5	20	7995	7995	20	1141.9562226391495	5.6334158682862085	0.601946388475286	0.13217010631644777	467	1191	159900
M4	M4-GOODALL-FLOOR-5	50	7995	7995	50	4978.000250156348	4.872602432198511	0.5584526964750092	0.10481801125703565	944	697	399750
M4	M4-GOODALL-FLOOR-10	10	7995	7995	10	411.61926203877425	7.796393103903668	0.6253417641810997	0.17649781113195748	301	1777	79950
M4	M4-GOODALL-FLOOR-10	20	7995	7995	20	1145.8424015009382	5.623654831857686	0.6036605226609346	0.13228267667292057	467	1241	159900
M4	M4-GOODALL-FLOOR-10	50	7995	7995	50	4985.9669793621015	4.872223550169001	0.559006818285819	0.10489806128830519	944	733	399750
M4	M4-GOODALL-FLOOR-20	10	7995	7995	10	416.95209505941216	7.730213480611759	0.6311646029550209	0.1772232645403377	305	1859	79950
M4	M4-GOODALL-FLOOR-20	20	7995	7995	20	1156.290181363352	5.611948455312902	0.6073460938101949	0.1327204502814259	468	1294	159900
M4	M4-GOODALL-FLOOR-20	50	7995	7995	50	5001.958974358974	4.863835861795753	0.560427677554882	0.10501563477173233	944	758	399750
M5	M5-GOWER-TEMP-1	10	7995	7995	10	3059.9962476547844	24.317977483871235	0.8166182945016058	0.3115071919949969	1633	3962	79950
M5	M5-GOWER-TEMP-1	20	7995	7995	20	5616.710444027517	16.01188050788162	0.7491786650584069	0.2719199499687305	1656	2998	159900
M5	M5-GOWER-TEMP-1	50	7995	7995	50	14662.680925578486	8.869785409708552	0.6655618723553378	0.21225515947467166	1676	1977	399750
M5	M5-GOWER-TEMP-2	10	7995	7995	10	1360.8993120700438	20.03005169326648	0.7423616839949609	0.25738586616635395	1366	2589	79950
M5	M5-GOWER-TEMP-2	20	7995	7995	20	2609.582238899312	13.323124720210302	0.6890134758238908	0.18919949968730457	1543	1834	159900
M5	M5-GOWER-TEMP-2	50	7995	7995	50	6204.769480925578	6.657246231509725	0.5979384175772773	0.11839149468417762	1678	1083	399750
M5	M5-GOWER-TEMP-3	10	7995	7995	10	1246.7164477798624	21.06751070539786	0.7153689880440441	0.23637273295809882	1310	2537	79950
M5	M5-GOWER-TEMP-3	20	7995	7995	20	2283.6855534709193	14.461439051674006	0.6457547192761579	0.16870544090056286	1464	1793	159900
M5	M5-GOWER-TEMP-3	50	7995	7995	50	4795.214008755473	7.164444199112861	0.5494107644670039	0.09256535334584115	1702	1087	399750
M5	M5-GOWER-TEMP-4	10	7995	7995	10	573.6217636022515	7.2609755278544394	0.7097048694833896	0.2039524702939337	373	2369	79950
M5	M5-GOWER-TEMP-4	20	7995	7995	20	1545.910444027517	5.856068813774322	0.6725665642339784	0.1503564727954972	578	1675	159900
M5	M5-GOWER-TEMP-4	50	7995	7995	50	7288.810256410256	5.750989197509894	0.623506745499552	0.13147217010631645	1183	940	399750
