production_composition_id	participant_arity	round16b_candidate_ids_json	state_count	state_id_set_sha256	transition_count_by_current_state	transition_id_set_sha256	workflow_count	workflow_id_set_sha256	export_count	export_id_set_sha256	partition_status	semantic_carry_forward_authorized
R16A-PCOMP-10340199BFF4918CE172	3	"[""R16B-LOCAL-FAMILY:af25d1d4c93f79886769d53d071805bd5b6726130b153e4484121321d1122e3a""]"	24	ee897e56633a6bde52d0954fd9bc88246635d547bababa8edeeb56c506c1df3f	3700	7b039650dc88454353c593428094027b32cab724f70ec5a6ec9a4176968697f9	24	c28e30dd5e1eac0768938b4906ce0405e27257d0893b33f451f7703fe9b9abf2	48	3b6d2ba2c22742144e15eac51b0755bdb83cada1619876a1fe6e2bed40cac679	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-11517573CD39B2D5E696	3	"[""R16B-LOCAL-FAMILY:15f5757830dfe043fb27e73c28ff3bfd902aaa9c938ab254fda8682d359a7249""]"	24	e9b2d70a78c6161a6f8f85d40ae3572e8246d7acc72d4224a5d5f4ed1ca0b7b2	676	1c5b81b5e6d26dae836a3b411417b463092e8db77fc8643bad9f0bfea907c86f	24	6bcc86049799a55a5981a6ddebd576fdab9365d5938137e3fd69dc69286ec692	48	13a7c9ef6d1b2392d98bb40b378624bd6f6163800517e3bdd98289e833ea16cf	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-11B4CB49ECB912252D11	3	"[""R16B-LOCAL-FAMILY:af25d1d4c93f79886769d53d071805bd5b6726130b153e4484121321d1122e3a""]"	24	1fa582eae4f90d0333ebd1b071244df94f379bb8072c03bfb674bb6203b8f597	3700	a0d90e3d854b567906b631ccf329deee463bcdfdf139a0e642385aab355cfede	24	ed0e4be309874325d47652b3a96f4807860ff8b81d1a812b7e5669dc01481b29	48	519016398559dcc3859dca329067e5cb42434830baf2334d67a6f7d77b59944f	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-1366961561B761A0F2C4	3	"[""R16B-LOCAL-FAMILY:1d76bf657bbdec293265d051268a2a1153be0108b15a8d63ebbf2cb98cf6f06a""]"	24	12f5ce12853eeefaa72cdce69b0912be8f200f2724c5008bbcb9b6cd6f85fa96	1948	96efc9576490f2bc0e92cf62c6690f66eff7c9b91d250f5bfe85fec24ed86a76	24	0da79280059b59ab7f55cdfd7ffe81cc8994a08ab0ac3e51bf2cf428d060bc4e	48	b0dc3de60ce1e8fd337b78fadd5fd5e72e2b804d30791abc4e7f51e6edae53df	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-138ECB107790C4DC4413	3	"[""R16B-LOCAL-FAMILY:23b72032e8165ac9f164a43ac0e1932f2fe4354f1b89f62d67ebe7d497de7af1""]"	24	e529640a94bbbd404b71b0f615c1a68277424e6a71e567fb6e549ee97f58cbd1	3700	16d6bbda04f19898392363a54a182111f572a7331693a20fb17dfb12d33d5332	24	bb5c5230ded817ae2aacfe40e2d5379d36f29945d9105e8095e627c7bdb4a773	48	7d6d2835ce08ee8d89820a6b3c5aaae270f5fc0faf36f7d7ce9edfd7cda3091e	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-160A6C7CA89D64FFE252	4	"[""R16B-LOCAL-FAMILY:89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a""]"	64	e594161256bd93eab6ef34f7b42ed828be2225ce5544a675da6d498f683d2417	9996	0784e2d336438c9d6d00db7354923abf7207c3b3a7baf3d295ddb464386a9cf8	64	39f0f7260133c9ab845921d94b68d51a892595fac9f3aaa39edf1bd0a248a77c	128	910b98b515da8dac31142fb6c0009231344a83961e97c0877192efc4aa1bb163	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-1676434ADAFD0F3BC199	3	"[""R16B-LOCAL-FAMILY:23b72032e8165ac9f164a43ac0e1932f2fe4354f1b89f62d67ebe7d497de7af1""]"	24	887363d22b3fd5dd575e3ab288a5e37ce9f4da734fcc003101d78a3fece65b0f	3700	8b6d041124e1608f6d91c3b0c37fc79824067a4635afdf0f4659317b634c0e32	24	9f49fb0c6dc8cd0e123edf39b270ecfc4b9b98982bd729bb75a5ed9014dfba59	48	1940193e6176c99648c7341f74571c8b9c05ce71fa8720f02f4f512a39e74954	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-1711AD934C9176D552C9	3	"[""R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64""]"	24	3b3f068ba65f77dfd364ff73d5fdadf22b4e00b24a826d12f02aa8dd62627d85	3700	24fe1d06b8e638a01febe25aba53029321047f7552deb1de36c76b1755bec9c4	24	40f343f3152397f815f94c109773e7f29de3b36a7f51684f7789ee368c4fe9fc	48	07a47c3ed84741873b7e24a2f673816a8eae82e3e33342ebbd458286d00ac16f	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-17B3C297A9ACF0075E2C	3	"[""R16B-LOCAL-FAMILY:3648ab4f374cda7a490244914de785b764e7e4f7c872f094e8a2d3f03a71a560""]"	24	0d573980fb24eccc4f30050aaf8162ba652f25db5d7ab37e6711c9d692add63d	3700	81370a4ca7bb6e4d0ad35c0a5aeb1b3ef725891444ebf0281ca31507fa211f83	24	c6524f645b56b3cf6f42ba8cfaf4bea868e5434e0d8a852bb5ef1c7157537c84	48	19b068a3b95f3a4def85b6c68565973a880ef261481abe341ee997cc60c5ed3a	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-185FC99A208DDE8A4A99	3	"[""R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64""]"	24	b721b695c0831064db81e2ce1021cdcdb8d1a786d68756c8513674a8d8fe7ae6	3700	a732307c4fa3fed4aa0dc69720a6a8bcb98321e407852d48660831a8be803cb5	24	773fc0b3b48a68083cf0cc4cc9bba2bb256e4b57418fad5ad684176d48baa782	48	9f86dfe75e97cc30f01c484d4e24a97e8be21b4ca01191fb10579c83c0392881	COMPLETE_PENDING_ROUND16B_REGENERATION	false
