candidate_id,source_name,macro_region,subregion,country_or_region,source_class,institutional_level,protocol_family,url,http_status,final_url,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,adapter_hint,recommended_image_policy_next,recommended_text_policy_next,rights_risk,capture_priority_next,probe_status,failure_reason,raw_probe_path,access_date,notes
NLCV30011,National Archives of Tanzania,Africa,East Africa,Tanzania,national archive,national,HTML,https://www.nyaraka.go.tz/,200,https://www.nyaraka.go.tz/,text/html; charset=UTF-8,46339,Nyaraka | Mwanzo,DRAM | DRAM,Static JS App,Static JS App:vite,headless_metadata_probe_only,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 adapter build,ok,,,2026-06-05,
NLCV30012,National Library and Archives of Ethiopia,Africa,East Africa,Ethiopia,national library/archive,national,HTML,https://www.nala.gov.et/,200,https://www.nala.gov.et/,text/html; charset=UTF-8,91868,Welcome to National Archive and Library Agency | National Archive and Library Agency,,JSON-LD;PDF,JSON-LD:schema.org;PDF:.pdf,html_jsonld_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 adapter build,ok,,,2026-06-05,
NLCV30013,Archives du Maroc,Africa,North Africa,Morocco,national archive,national,HTML,https://www.archivesdumaroc.ma/,500,https://www.archivesdumaroc.ma/,application/json; charset=UTF-8,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,http_error,HTTP Error 500: Internal Server Error,,2026-06-05,
NLCV30014,Archives Nationales de Tunisie,Africa,North Africa,Tunisia,national archive,national,HTML,http://www.archives.nat.tn/,200,https://www.archives.nat.tn/ar/,text/html; charset=UTF-8,90381,الأرشيف الوطني التونسي - Archives Nationales de Tunisie,بوابة الواب للأرشيف الوطني التونسي - قاعدة بيانات الأرشيف الوطني وقاعدة الأرشيفات الرقمية.,RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 adapter build,ok,,,2026-06-05,
NLCV30015,Bibliotheque Nationale d'Algerie,Africa,North Africa,Algeria,national library,national,catalog/HTML,https://www.biblionat.dz/,200,https://biblionat.dz/,text/html; charset=UTF-8,180000,الرئيسية - المكتبة الوطنية الجزائرية,آخر الأخبار,RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-content,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 adapter build,ok,,,2026-06-05,
NLCV30016,Centre de Documentation Saharienne,Africa,North Africa,Algeria,research archive,research,HTML,https://www.crasc.dz/,200,https://www.crasc.dz/fr/home,text/html; charset=UTF-8,177124,Accueil,,IIIF,"IIIF:rel=""manifest""",iiif_manifest_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",iiif_is_viewer_not_reuse,P1 adapter build,ok,,,2026-06-05,
NLCV30017,National Library of Sudan,Africa,North Africa,Sudan,national library,national,HTML,https://www.nls.gov.sd/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
NLCV30018,Archives Nationales du Senegal,Africa,West Africa,Senegal,national archive,national,HTML,https://archivesdusenegal.gouv.sn/,200,https://archivesdusenegal.gouv.sn/,text/html; charset=UTF-8,180000,Archives du Sénégal |,,RSS/Atom;WordPress REST;PDF,RSS/Atom:application/rss+xml;WordPress REST:wp-content;PDF:.pdf,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 adapter build,ok,,,2026-06-05,
NLCV30019,Bibliotheque Nationale du Senegal,Africa,West Africa,Senegal,national library,national,HTML,https://bn.gouv.sn/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
NLCV30020,Archives Nationales de Cote d'Ivoire,Africa,West Africa,Cote d'Ivoire,national archive,national,HTML,https://archivesnationales.gouv.ci/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
NLCV30021,Bibliotheque Nationale de Cote d'Ivoire,Africa,West Africa,Cote d'Ivoire,national library,national,HTML,https://bnci.ci/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,URLError: <urlopen error [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1028)>,,2026-06-05,
NLCV30022,National Archives of The Gambia,Africa,West Africa,Gambia,national archive,national,HTML,https://www.ncac.gm/,200,https://ncac.gm/,text/html; charset=UTF-8,125711,HOME - NATIONAL CENTRE FOR ARTS & CALTURE,"Welcome To National Centre Of Arts And Culture Gambian arts and culture is characterized by heterogeneity and diversity. As Gambia subscribes to most of the UNESCO culture conventions, our activities continue to be guided by the spirit of…",RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 text/source enrichment,ok,,,2026-06-05,
NLCV30023,National Library of Sierra Leone,Africa,West Africa,Sierra Leone,national library,national,HTML,https://nationallibrary.gov.sl/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
NLCV30024,National Archives of Liberia,Africa,West Africa,Liberia,national archive,national,HTML,https://culturalheritage.gov.lr/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
