source_id,source_name,source_place_text,old_macro_region,old_country_or_region,new_macro_region,new_country_or_region,action,note
NMSS2026R0919,Museo Pedro de Osma,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0999,Museo Policial,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0375,Museo Pompeo Boggio,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0376,Museo Provincial De Bellas Artes Dr. Juan Ramón Vidal,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0377,Museo Provincial de Bellas Artes Franklin Rawson,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0864,Museo Siderúrgico de Colombia,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0865,Museo Subterráneo Monumental – Catedral de Sal de Zipaquirá,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0962,Museo Torres García,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0382,Museo de Arte Contemporáneo de Bahía Blanca,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0921,Museo de Arte Precolombino Cusco,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0386,Museo de Ciencia y Técnica,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0484,Museo de Ciencias Naturales La Salle,Latin America / Caribbean / Costa Rica,Latin America,Costa Rica,Latin America,Costa Rica,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0389,"Museo de Farmacobotánica ""Juan A. Domínguez""",Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0964,Museo de Historia Natural Dr. Carlos Torres de la LLosa,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0276,Museo de Historia Natural Noel Kempff Mercado,Latin America / Caribbean / Bolivia,Latin America,Bolivia,Latin America,Bolivia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0926,Museo de Sitio Pucllana,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0392,Museo de Sitio UNC,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
